富裕,fùyù,riche,cmn-000d23af.mp3," riche, riches, fortuné, aisée, fortunés"
质,zhì,qualité,cmn-0014186c.mp3," qualité, de qualité, la qualité de, Quality, de la qualité"
不料,bùliào,à l'improviste,cmn-00347f6a.mp3," à l'improviste, de façon inattendue, façon inattendue, inattendue, Contre toute attente"
水利,shuǐlì,conservation de l'eau,cmn-007193a1.mp3," conservation de l'eau, Conservation des eaux, Water conservation, économie de l'eau, Protection de l'eau"
面临,miànlín,face à,cmn-0086f29f.mp3," face à, Confrontée à, confrontés à des, Devant, Confronté à"
毛线,máoxiàn,de laine,cmn-00b019d4.mp3," de laine, en laine, lainage, laine, la laine"
尽力,jìnlì,essayer,cmn-010c9d87.mp3," essayer, chercher, Essayez, essai, Essayez d'"
助手,zhùshǒu,assistant,cmn-013a0096.mp3," assistant, Assistant de, Adjointe, adjoint, aide"
旋转,xuánzhuǎn,rotation,cmn-015b2d28.mp3," rotation, de rotation, rotation de, la rotation, tour"
焊,hàn,soudage,cmn-016e2846.mp3," soudage, souder, de Soudage, de soudure, Soudez"
地质,dìzhì,géologie,cmn-019a6e67.mp3," géologie, Géologie de, de la géologie, de géologie, Geology"
共青团,Gòngqīngtuán,Ligue des jeunes communistes,cmn-01a11c3a.mp3," Ligue des jeunes communistes, Jeunesse communiste Ligue, Ligue de la jeunesse, Ligue des jeunesses communistes"
诗人,shīrén,poète,cmn-02408dca.mp3," poète, le poète, Poet, poëte"
打架,dǎjià,lutte,cmn-0273d8aa.mp3," lutte, combat, bataille, combattre, bagarre"
老人家,lǎorenjia,personne âgée,cmn-027f218b.mp3," personne âgée, aux personnes âgées, des personnes âgées, Elderly, assez âgé"
高速,gāosù,Haute vitesse,cmn-028a7194.mp3," vitesse, débit, rapidité, régime, de vitesse"
青蛙,qīngwā,grenouille,cmn-02c1d84e.mp3," grenouille, de grenouille, Frog"
鲜艳,xiānyàn,brillant,cmn-02c0aead.mp3," brillant, clair, lumineuse, lumineux, intelligent"
荣幸,róngxìng,honoré,cmn-02e9c680.mp3," honoré, Estimé, Honoré du, honneur, honorée"
镇静,zhènjìng,sédation,cmn-02eef993.mp3," sédation, de sédation, Sedation, sédatif, de sedation"
射击,shèjī,tournage,cmn-02ef7429.mp3," tournage, fusillade, Lieu, chasse, coups de feu"
横,héng,à côté de,cmn-02f30917.mp3," à côté de, A côté de, côté, côté de, A côté"
牢骚,láosāo,mécontentement,cmn-03164ce2.mp3," mécontentement, Discontent, le mécontentement, malaise, de mécontentement"
增进,zēngjìn,promouvoir,cmn-03420850.mp3," promouvoir, Promouvoir des, favoriser, encourager, la promotion des"
早已,zǎoyǐ,il y a longtemps,cmn-03580c27.mp3," il y a longtemps, Il ya bien longtemps, Il ya longtemps que, Il ya longtemps"
条例,tiáolì,réglementation,cmn-0359651f.mp3," réglementation, règlement, la réglementation, règlement de, du règlement"
万一,wànyī,au cas où,cmn-0361ea8c.mp3," au cas où, Dans le cas où, En cas, Au cas, Dans le cas"
塌,tā,effondrement,cmn-037a89fa.mp3," effondrement, collapsus, Collapse, effondrer, faillite"
锣,luó,gong,cmn-03808f71.mp3," gong, de gong, Falun, le gong"
盼,pàn,espoir pour,cmn-038eb341.mp3," espoir pour, espoir pour les, Hope for, Espoir de, Espoir pour la"
知,zhī,savoir,cmn-0389de85.mp3," savoir, connaître, faire savoir, Know, Connaissez"
价,jià,prix,cmn-039ef032.mp3," prix, de prix, les prix, cours, le prix"
有限,yǒuxiàn,limité,cmn-03c723a4.mp3," limité, limitées, limités, limite, limitée"
脑力,nǎolì,Brainpower,cmn-03d78099.mp3," Brainpower, cerveaux, de matière grise, intelligence, de Brainpower"
鲜明,xiānmíng,brillant,cmn-03efeca6.mp3," brillant, clair, lumineuse, lumineux, intelligent"
折磨,zhémo,affliger,cmn-03f73a91.mp3," affliger, affligent, affligent la, affligent les, Afflict"
伙伴,huǒbàn,partenaire,cmn-03ff5d51.mp3," partenaire, partenaire de, commandité, Associé, conjoint"
季,jì,saison,cmn-041efbaf.mp3," saison, la saison, période, saison de"
交谈,jiāotán,bavarder,cmn-043e4262.mp3," bavarder, causer, chatter, conversation, chat"
风气,fēngqì,atmosphère,cmn-04409a50.mp3," atmosphère, ambiance, Atmosphere, Ambiance De"
驶,shǐ,drive,cmn-04b52324.mp3," drive, promenade, conduire, d'entraînement, attaque"
涌,yǒng,poussée,cmn-04bfb335.mp3," poussée, montée, augmentation, vague, les surtensions"
女子,nǚzǐ,femme,cmn-04c499ab.mp3," femme, femme de"
惯,guàn,Utilisé pour,cmn-04e900f1.mp3," Utilisé pour, Permet d', Sert à, Permet, Permet de"
转弯,zhuǎnwān,tour,cmn-050f1fd2.mp3," tour, Allumez, tournant, Mettez, tourner"
一行,yīxíng,rangée,cmn-051ace62.mp3," rangée, ligne, file, rang, En rangée"
英镑,Yīngbàng,sterling,cmn-0520a692.mp3," sterling, de Sterling, livre sterling, livres sterling, brillant"
民用,mínyòng,civil,cmn-05697508.mp3," civil, civile, civiles, civils"
奖励,jiǎnglì,récompense,cmn-0584649c.mp3," récompense, Récompenser, Prime, de récompense, Reward"
气概,qìgài,esprit,cmn-05be72aa.mp3," esprit, alcool"
高级,gāojí,avancé,cmn-05bf3a79.mp3," avancé, avancée, avancéSystème, détaillée, avancées"
遗留,yíliú,héritage,cmn-05d0384c.mp3," héritage, legs, héritage de, l'héritage, hérité"
指标,zhǐbiāo,index,cmn-05f38c55.mp3," index, indice, Index des, indexer, Index du"
大使,dàshǐ,ambassadeur,cmn-060e35ec.mp3," ambassadeur, Ambassador, ambassadrice, Ambassadeur de"
不够,bùgòu,pas assez,cmn-06613077.mp3," pas assez, ne suffisait pas, ne suffit pas, insuffisante, ne suffisent pas"
村庄,cūnzhuāng,village,cmn-06632f1c.mp3," village, de village, le village, village de"
报复,bàofù,représailles,cmn-06778c03.mp3," représailles, Retaliation, les représailles, de représailles, mesures de rétorsion"
自信,zìxìn,confiance,cmn-06a2f4da.mp3," confiance, confiance en, confidence, de confiance, Confiance en soi"
凶,xiōng,féroce,cmn-06a8d36c.mp3," féroce, acharnée, farouche, Fierce, acharné"
自豪,zìháo,fierté,cmn-06e9f9b8.mp3," fierté, l'orgueil, de fierté, la fierté"
依旧,yījiù,encore,cmn-0717f1bf.mp3," encore, toujours, Pourtant, morte, quand même"
现成,xiànchéng,Tout fait,cmn-071de7e5.mp3," Tout fait, confectionnés, Miniature déjà, Miniature déjà montée, Confection"
舅母,jiùmu,tante,cmn-073d76bf.mp3," tante, de tante, ma tante, sa tante, Aunt"
