呢,ne,TO TRANSLATE,cmn-00eab2c6.mp3
朝,cháo,TO TRANSLATE,cmn-01645fef.mp3
支,zhī,TO TRANSLATE,cmn-016a8467.mp3
酒,jiǔ,TO TRANSLATE,cmn-0187ac5b.mp3
查,chá,TO TRANSLATE,cmn-024bb4b2.mp3
国家,guójiā,TO TRANSLATE,cmn-032a3e41.mp3
发现,fāxiàn,TO TRANSLATE,cmn-03cd4a7c.mp3
一直,yìzhí,TO TRANSLATE,cmn-03edefb8.mp3
现在,xiànzài,TO TRANSLATE,cmn-03f73677.mp3
冬天,dōngtiān,TO TRANSLATE,cmn-0418b8f7.mp3
也,yě,TO TRANSLATE,cmn-041d3a4a.mp3
自行车,zìxíngchē,TO TRANSLATE,cmn-043246c4.mp3
突然,tūrán,TO TRANSLATE,cmn-04b15123.mp3
碰,pèng,TO TRANSLATE,cmn-04bc72d0.mp3
不久,bùjiǔ,TO TRANSLATE,cmn-05adcf26.mp3
爱人,àiren,TO TRANSLATE,cmn-05ae3ce9.mp3
领导,lǐngdǎo,TO TRANSLATE,cmn-063d8332.mp3
正,zhèng,TO TRANSLATE,cmn-065845f6.mp3
每,měi,TO TRANSLATE,cmn-06b64b97.mp3
座,zuò,TO TRANSLATE,cmn-06f0bb20.mp3
姑娘,gūniang,TO TRANSLATE,cmn-0793d109.mp3
一点儿,yìdiǎnr,TO TRANSLATE,cmn-07d3cb68.mp3
下,xià,TO TRANSLATE,cmn-07dcdf76.mp3
复杂,fùzá,TO TRANSLATE,cmn-07e9c66b.mp3
历史,lìshǐ,TO TRANSLATE,cmn-07f288e9.mp3
双,shuāng,TO TRANSLATE,cmn-087d80d6.mp3
占,zhàn,TO TRANSLATE,cmn-08938eb7.mp3
布,bù,TO TRANSLATE,cmn-08c53d73.mp3
就,jiù,TO TRANSLATE,cmn-08cbe6fb.mp3
会,huì,TO TRANSLATE,cmn-09003a80.mp3
七,qī,TO TRANSLATE,cmn-09075744.mp3
母亲,mǔqīn,TO TRANSLATE,cmn-0935d373.mp3
篇,piān,TO TRANSLATE,cmn-09afa992.mp3
锻炼,duànliàn,TO TRANSLATE,cmn-09b360e9.mp3
杯子,bēizi,TO TRANSLATE,cmn-09cef065.mp3
研究,yánjiū,TO TRANSLATE,cmn-09ecb4c0.mp3
好吃,hǎochī,TO TRANSLATE,cmn-0a4de7f8.mp3
生活,shēnghuó,TO TRANSLATE,cmn-0a535711.mp3
走,zǒu,TO TRANSLATE,cmn-0a63b17b.mp3
低,dī,TO TRANSLATE,cmn-0ac1dfbc.mp3
再见,zàijiàn,TO TRANSLATE,cmn-0ad618c6.mp3
没有,méiyǒu,TO TRANSLATE,cmn-0af02ea8.mp3
同学,tóngxué,TO TRANSLATE,cmn-0af7d333.mp3
孩子,háizi,TO TRANSLATE,cmn-0b106591.mp3
借,jiè,TO TRANSLATE,cmn-0b5bddc7.mp3
行,xíng,TO TRANSLATE,cmn-0ba21aa9.mp3
空气,kōngqì,TO TRANSLATE,cmn-0bb38c77.mp3
考试,kǎoshì,TO TRANSLATE,cmn-0bd4d7fe.mp3
正在,zhèngzài,TO TRANSLATE,cmn-0c664877.mp3
感冒,gǎnmào,TO TRANSLATE,cmn-0c6b6172.mp3
更,gèng,TO TRANSLATE,cmn-0c975144.mp3
算,suàn,TO TRANSLATE,cmn-0d0388b7.mp3
短,duǎn,TO TRANSLATE,cmn-0d5256b7.mp3
夏天,xiàtiān,TO TRANSLATE,cmn-0d9ec443.mp3
饺子,jiǎozi,TO TRANSLATE,cmn-0e0e165a.mp3
祝,zhù,TO TRANSLATE,cmn-0e22b862.mp3
英语,yīngyǔ,TO TRANSLATE,cmn-0e246e5b.mp3
同意,tóngyì,TO TRANSLATE,cmn-0e456aed.mp3
万,wàn,TO TRANSLATE,cmn-0e6a935d.mp3
长,zhǎng,TO TRANSLATE,cmn-0e9ae27f.mp3
继续,jìxù,TO TRANSLATE,cmn-0ed3fc23.mp3
绿,lǜ,TO TRANSLATE,cmn-0f03c659.mp3
又,yòu,TO TRANSLATE,cmn-0f1044cf.mp3
出,chū,TO TRANSLATE,cmn-0f1e9f47.mp3
消息,xiāoxi,TO TRANSLATE,cmn-0f2b813d.mp3
想,xiǎng,TO TRANSLATE,cmn-10e85cbe.mp3
文学家,wénxuéjiā,TO TRANSLATE,cmn-10ea879f.mp3
山,shān,TO TRANSLATE,cmn-11d0d7ba.mp3
祖国,zǔguó,TO TRANSLATE,cmn-1223aaac.mp3
变成,biànchéng,TO TRANSLATE,cmn-1233e88f.mp3
出发,chūfā,TO TRANSLATE,cmn-1278dcf3.mp3
然后,ránhòu,TO TRANSLATE,cmn-1294bbfb.mp3
变,biàn,TO TRANSLATE,cmn-12a754ab.mp3
道,dào,TO TRANSLATE,cmn-12ec59c9.mp3
发展,fāzhǎn,TO TRANSLATE,cmn-13936069.mp3
今天,jīntiān,TO TRANSLATE,cmn-13ace787.mp3
主要,zhǔyào,TO TRANSLATE,cmn-13c05bb8.mp3
男,nán,TO TRANSLATE,cmn-13c47606.mp3
雨,yǔ,TO TRANSLATE,cmn-13ca4a36.mp3
留念,liúniàn,TO TRANSLATE,cmn-14526be8.mp3
它,tā,TO TRANSLATE,cmn-145d88a4.mp3
亿,yì,TO TRANSLATE,cmn-145e4941.mp3
挤,jǐ,TO TRANSLATE,cmn-14a3c5b6.mp3
省,shěng,TO TRANSLATE,cmn-14a76997.mp3
剩,shèng,TO TRANSLATE,cmn-1523f317.mp3
颜色,yánsè,TO TRANSLATE,cmn-152709b9.mp3
死,sǐ,TO TRANSLATE,cmn-1534dda0.mp3
提,tí,TO TRANSLATE,cmn-1e3a62c0.mp3
